department,year,base,unit,count
電気情報工学科,1966,計,学科,0
電気電子工学科,1966,計,学科,0
電気電子システム工学科,1966,計,学科,0
電気・電子システム工学科,1966,計,学科,0
電気システム工学科,1966,計,学科,0
知能エレクトロニクス工学科,1966,計,学科,0
電気制御システム工学科,1966,計,学科,0
電子システム工学科,1966,計,学科,0
電気電子創造工学科,1966,計,学科,0
制御情報工学科,1966,計,学科,0
電子情報工学科,1966,計,学科,0
情報電子工学科,1966,計,学科,0
情報工学科,1966,計,学科,0
流通情報工学科,1966,計,学科,0
電波通信学科,1966,計,学科,0
情報通信工学科,1966,計,学科,0
情報通信システム工学科,1966,計,学科,0
メディア情報工学科,1966,計,学科,0
国際コミュニケーション情報工学科,1966,計,学科,0
グローバル情報工学科,1966,計,学科,0
グローバル情報学科,1966,計,学科,0
情報システム工学科,1966,計,学科,0
情報ネットワーク工学科,1966,計,学科,0
通信ネットワーク工学科,1966,計,学科,0
情報通信エレクトロニクス工学科,1966,計,学科,0
制御情報システム工学科,1966,計,学科,0
人間情報システム工学科,1966,計,学科,0
システム制御情報工学科,1966,計,学科,0
工業化学科,1966,計,学科,26
化学工学科,1966,計,学科,0
応用化学科,1966,計,学科,0
物質工学科,1966,計,学科,0
物質化学工学科,1966,計,学科,0
生物工学科,1966,計,学科,0
生物応用化学科,1966,計,学科,0
生物資源工学科,1966,計,学科,0
生物化学システム工学科,1966,計,学科,0
物質環境工学科,1966,計,学科,0
化学・バイオ工学科,1966,計,学科,0
土木工学科,1966,計,学科,13
土木建築工学科,1966,計,学科,0
建築学科,1966,計,学科,6
建設工学科,1966,計,学科,0
環境都市工学科,1966,計,学科,0
都市・環境工学科,1966,計,学科,0
環境都市デザイン工学科,1966,計,学科,0
都市環境デザイン工学科,1966,計,学科,0
環境・建設工学科,1966,計,学科,0
建設システム工学科,1966,計,学科,0
都市システム工学科,1966,計,学科,0
建設環境工学科,1966,計,学科,0
都市工学科,1966,計,学科,0
建築デザイン学科,1966,計,学科,0
建築社会デザイン工学科,1966,計,学科,0
社会基盤工学科,1966,計,学科,0
航空工学科,1966,計,学科,0
航空機体工学科,1966,計,学科,1
航空原動機工学科,1966,計,学科,1
印刷工学科,1966,計,学科,1
グラフィック工学科,1966,計,学科,0
