department,year,base,unit,count
電子メディア工学科,1962,計,学科,0
電子メディア工学科,1962,計,学級,0
電気情報工学科,1962,国立,学科,0
電気情報工学科,1962,国立,学級,0
電気情報工学科,1962,公立,学科,0
電気情報工学科,1962,公立,学級,0
電気情報工学科,1962,私立,学科,0
電気情報工学科,1962,私立,学級,0
電気情報工学科,1962,計,学科,0
電気情報工学科,1962,計,学級,0
電気電子工学科,1962,国立,学科,0
電気電子工学科,1962,国立,学級,0
電気電子工学科,1962,公立,学科,0
電気電子工学科,1962,公立,学級,0
電気電子工学科,1962,私立,学科,0
電気電子工学科,1962,私立,学級,0
電気電子工学科,1962,計,学科,0
電気電子工学科,1962,計,学級,0
電気電子システム工学科,1962,国立,学科,0
電気電子システム工学科,1962,国立,学級,0
電気電子システム工学科,1962,公立,学科,0
電気電子システム工学科,1962,公立,学級,0
電気電子システム工学科,1962,私立,学科,0
電気電子システム工学科,1962,私立,学級,0
電気電子システム工学科,1962,計,学科,0
電気電子システム工学科,1962,計,学級,0
電気・電子システム工学科,1962,国立,学科,0
電気・電子システム工学科,1962,国立,学級,0
電気・電子システム工学科,1962,公立,学科,0
電気・電子システム工学科,1962,公立,学級,0
電気・電子システム工学科,1962,私立,学科,0
電気・電子システム工学科,1962,私立,学級,0
電気・電子システム工学科,1962,計,学科,0
電気・電子システム工学科,1962,計,学級,0
電気システム工学科,1962,国立,学科,0
電気システム工学科,1962,国立,学級,0
電気システム工学科,1962,公立,学科,0
電気システム工学科,1962,公立,学級,0
電気システム工学科,1962,私立,学科,0
電気システム工学科,1962,私立,学級,0
電気システム工学科,1962,計,学科,0
電気システム工学科,1962,計,学級,0
知能エレクトロニクス工学科,1962,国立,学科,0
知能エレクトロニクス工学科,1962,国立,学級,0
知能エレクトロニクス工学科,1962,公立,学科,0
知能エレクトロニクス工学科,1962,公立,学級,0
知能エレクトロニクス工学科,1962,私立,学科,0
知能エレクトロニクス工学科,1962,私立,学級,0
知能エレクトロニクス工学科,1962,計,学科,0
知能エレクトロニクス工学科,1962,計,学級,0
電気制御システム工学科,1962,国立,学科,0
電気制御システム工学科,1962,国立,学級,0
電気制御システム工学科,1962,公立,学科,0
電気制御システム工学科,1962,公立,学級,0
電気制御システム工学科,1962,私立,学科,0
電気制御システム工学科,1962,私立,学級,0
電気制御システム工学科,1962,計,学科,0
電気制御システム工学科,1962,計,学級,0
電子システム工学科,1962,国立,学科,0
電子システム工学科,1962,国立,学級,0
電子システム工学科,1962,公立,学科,0
電子システム工学科,1962,公立,学級,0
電子システム工学科,1962,私立,学科,0
電子システム工学科,1962,私立,学級,0
電子システム工学科,1962,計,学科,0
電子システム工学科,1962,計,学級,0
電気電子創造工学科,1962,国立,学科,0
電気電子創造工学科,1962,国立,学級,0
電気電子創造工学科,1962,公立,学科,0
電気電子創造工学科,1962,公立,学級,0
電気電子創造工学科,1962,私立,学科,0
電気電子創造工学科,1962,私立,学級,0
電気電子創造工学科,1962,計,学科,0
電気電子創造工学科,1962,計,学級,0
制御情報工学科,1962,国立,学科,0
制御情報工学科,1962,国立,学級,0
制御情報工学科,1962,公立,学科,0
制御情報工学科,1962,公立,学級,0
制御情報工学科,1962,私立,学科,0
制御情報工学科,1962,私立,学級,0
制御情報工学科,1962,計,学科,0
制御情報工学科,1962,計,学級,0
電子情報工学科,1962,国立,学科,0
電子情報工学科,1962,国立,学級,0
電子情報工学科,1962,公立,学科,0
電子情報工学科,1962,公立,学級,0
電子情報工学科,1962,私立,学科,0
電子情報工学科,1962,私立,学級,0
電子情報工学科,1962,計,学科,0
電子情報工学科,1962,計,学級,0
情報電子工学科,1962,国立,学科,0
情報電子工学科,1962,国立,学級,0
情報電子工学科,1962,公立,学科,0
情報電子工学科,1962,公立,学級,0
情報電子工学科,1962,私立,学科,0
情報電子工学科,1962,私立,学級,0
情報電子工学科,1962,計,学科,0
情報電子工学科,1962,計,学級,0
情報工学科,1962,国立,学科,0
情報工学科,1962,国立,学級,0
情報工学科,1962,公立,学科,0
情報工学科,1962,公立,学級,0
情報工学科,1962,私立,学科,0
情報工学科,1962,私立,学級,0
