type,num,title,description,kosen,poster,photo
自由部門,13,Walking Helper,－見えなくてもわかる世界へ－,小山,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0016.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f13.jpg
自由部門,14,Smart Searcher,－海洋ごみ問題を空から解決－,大島商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0017.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f14.jpg
自由部門,15,みらいかんしょ,,鳥羽商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0018.png,
自由部門,16,○○なう　,－人と企業に「今」をシェアする－,神戸市立,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0019.png,
自由部門,17,iMake !,－３次元仮想メイクで全人類の化粧技術向上－,豊田,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0020.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f17.jpg
自由部門,18,ぐるぐるウェイway　のぞむくん, ,広島商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0021.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f18.jpg
自由部門,19,SEE-DRO FIGHT !,－離れた友人と運動する新提案－,豊田,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0022.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f19.jpg
自由部門,20,MARINE TRASHART,－アート製作を通じた海洋ごみ処理－,鳥羽商船,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0023.png,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-photo/f20.jpg
自由部門,21,GoQ! ,－On demand queuing services－,シンガポール・ポリテクニック,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0024.png,
自由部門,22,An Anchor-Based MR Platform,,香港VTC,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0025.png,
自由部門,23,Car-nalytics,－A System for Car Parts Segmentation and Brand Recognition－,キングモンクット工科大学ラカバン校,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0026.png,
自由部門,24,Automatic awning,,タイ高専,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0027.png,
自由部門,25,eJournal,,モンゴル学科技術大学,https://codeforkosen.github.io/kosen-opendata/data/procon/procon2022/procon33-free/0028.png,
