事業所名,電気起算校舎(GJ),電気起算寄宿舎(GJ),化石燃料起算校舎(GJ),化石燃料起算寄宿舎(GJ),新エネルギー(GJ)
函館,10432,2537,9214,2652,341
苫小牧,10774,1867,11768,6510,356
釧路,9812,2892,14161,7862,0
旭川,8619,2780,12002,4129,0
八戸,13612,1983,8805,10253,364
一関,11150,4472,7276,3023,284
仙台(広瀬),12856,1796,4717,1304,0
仙台(名取),15224,1631,7238,990,99
秋田,9952,2060,8883,4597,0
鶴岡,11369,6790,5486,2790,0
福島,13289,2636,6032,2211,367
茨城,11108,3239,1702,1302,447
小山,18139,3445,540,1529,0
群馬,13695,1866,7352,1090,70
木更津,14042,3252,6413,801,241
東京,16649,1685,1349,1925,229
長岡,17221,2904,9724,5877,0
富山(本郷),12087,2031,3649,529,0
富山(射水),8673,2783,5179,2012,218
石川,19473,3600,471,1337,8
福井,12912,2528,2840,1431,58
長野,8122,5521,3707,1868,937
岐阜,11775,4816,3261,1563,335
沼津,15466,4700,728,3083,398
豊田,11596,4606,4431,4198,0
鳥羽,8923,2343,2865,954,0
鈴鹿,14449,5297,497,2835,361
舞鶴,9175,8114,4441,3318,351
明石,13587,3184,170,471,0
奈良,13449,2654,4800,740,292
和歌山,10172,5999,3454,2837,122
米子,16143,3733,354,2087,1
松江,13103,3922,186,1928,544
津山,11133,8440,379,687,149
広島,7304,8106,2535,1302,0
呉,11067,2982,3688,1322,93
徳山,9264,1172,1745,414,242
宇部,12176,5888,1266,289,0
大島,7687,3357,1281,1604,0
阿南,14733,2919,263,654,863
香川(高松),11809,3183,185,585,500
香川(詫間),10184,4335,1375,1920,199
新居浜,10719,5984,411,2161,315
弓削,8881,6997,3795,626,0
高知,14029,4595,464,2943,314
久留米,14476,1930,1195,319,919
有明,11631,3567,3406,1337,507
北九州,11728,1999,4980,648,345
佐世保,9204,4981,1960,741,53
熊本(八代),11471,4557,274,2455,0
熊本(熊本),9160,3193,850,503,125
大分,10124,3089,5301,1223,0
都城,9684,3862,4467,3114,298
鹿児島,11387,3744,5008,2393,344
沖縄,19042,6076,2854,881,0
機構本部,1207,0,421,0,0
