学校コード,学校種,都道府県番号,設置区分１,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
F107310101313,F1,07,3,1,奥羽大学,郡山市富田町字三角堂３１－１,9638041,2021-01-20,,2101,
F107310101322,F1,07,3,1,医療創生大学,いわき市中央台飯野５－５－１,9708551,2021-01-20,,2103,
F107310101331,F1,07,3,1,東日本国際大学,いわき市平鎌田字寿金沢３７,9708023,2021-01-20,,2105,
F107310101340,F1,07,3,1,福島学院大学,福島市宮代字乳児池１番地１,9600181,2021-01-20,,2107,
F207210101350,F2,07,2,1,会津大学短期大学部,会津若松市一箕町大字八幡字門田１－１,9650003,2021-01-20,,4376,
F207310101367,F2,07,3,1,郡山女子大学短期大学部,郡山市開成３－２５－２,9638503,2021-01-20,,5093,
F207310101376,F2,07,3,1,桜の聖母短期大学,福島市花園町３－６,9608112,2021-01-20,,5094,
F207310101385,F2,07,3,1,いわき短期大学,いわき市平鎌田字寿金沢３７,9708023,2021-01-20,,5095,
F207310101394,F2,07,3,1,福島学院大学短期大学部,福島市宮代字乳児池１－１,9600181,2021-01-20,,5096,
G107110101404,G1,07,1,1,福島工業高等専門学校,いわき市平上荒川字長尾３０,9708034,2021-01-20,,6536,
F108110101414,F1,08,1,1,茨城大学,水戸市文京２－１－１,3100056,2021-01-20,,0152,
F108110101423,F1,08,1,1,筑波大学,つくば市天王台１丁目１－１,3058577,2021-01-20,,0408,
F108110101432,F1,08,1,1,筑波技術大学,つくば市天久保４－３－１５,3058520,2021-01-20,,0540,
F108210101449,F1,08,2,1,茨城県立医療大学,稲敷郡阿見町阿見字阿見原４６６９－２,3000394,2021-01-20,,1132,
F108310101456,F1,08,3,1,茨城キリスト教大学,日立市大みか町６－１１－１,3191295,2021-01-20,,2113,
F108310101465,F1,08,3,1,流通経済大学,龍ケ崎市平畑１２０,3018555,2021-01-20,,2114,
F108310101474,F1,08,3,1,常磐大学,水戸市見和１－４３０－１,3108585,2021-01-20,,2115,
F108310101483,F1,08,3,1,つくば国際大学,土浦市真鍋６－２０－１,3000051,2021-01-20,,2116,
F108310101492,F1,08,3,1,筑波学院大学,つくば市吾妻３丁目１,3050031,2021-01-20,,2117,
F108310101508,F1,08,3,1,日本ウェルネススポーツ大学,北相馬郡利根町大字布川１３７７番,3001622,2021-01-20,,2118,
F108310111971,F1,08,3,1,アール医療専門職大学,土浦市湖北二丁目１０番３５号,3000032,2022-05-01,,,
F208310101516,F2,08,3,1,茨城女子短期大学,那珂市東木倉９６０－２,3110114,2021-01-20,,5114,
F208310101525,F2,08,3,1,つくば国際短期大学,土浦市真鍋６－２０－１,3000051,2021-01-20,,5115,
F208310101534,F2,08,3,1,常磐短期大学,水戸市見和１－４３０－１,3108585,2021-01-20,,5116,
G108110101546,G1,08,1,1,茨城工業高等専門学校,ひたちなか市中根８６６,3128508,2021-01-20,,6540,
F109110101556,F1,09,1,1,宇都宮大学,宇都宮市峰町３５０,3210943,2021-01-20,,0156,
F109310101561,F1,09,3,1,足利大学,足利市大前町２６８－１,3268558,2021-01-20,,2128,
F109310101570,F1,09,3,1,白鴎大学,小山市駅東通り２－３－５,3230022,2021-01-20,,2130,
F109310101589,F1,09,3,1,作新学院大学,宇都宮市竹下町９０８,3213295,2021-01-20,,2131,
F109310101598,F1,09,3,1,国際医療福祉大学,大田原市北金丸字上ノ原２６００－１,3248501,2021-01-20,,2133,
F109310101605,F1,09,3,1,宇都宮共和大学,宇都宮市大通り１－３－１８,3200811,2021-01-20,,2134,
F109310101614,F1,09,3,1,文星芸術大学,宇都宮市上戸祭四丁目８番１５号,3200058,2021-01-20,,2135,
F109310101623,F1,09,3,1,自治医科大学,下野市薬師寺３３１１－１,3290498,2021-01-20,,2140,
F109310101632,F1,09,3,1,獨協医科大学,下都賀郡壬生町大字北小林８８０,3210293,2021-01-20,,2141,
F209310101640,F2,09,3,1,佐野日本大学短期大学,佐野市高萩町1297,3270821,2021-01-20,,5127,
F209310101659,F2,09,3,1,宇都宮短期大学,宇都宮市下荒針町長坂３８２９,3210346,2021-01-20,,5128,
F209310101668,F2,09,3,1,國學院大學栃木短期大学,栃木市平井町６０８,3288588,2021-01-20,,5129,
F209310101677,F2,09,3,1,作新学院大学女子短期大学部,宇都宮市竹下町９０８,3213295,2021-01-20,,5130,
F209310101686,F2,09,3,1,足利短期大学,足利市本城３－２１２０,3260808,2021-01-20,,5132,
F209310101695,F2,09,3,1,宇都宮文星短期大学,宇都宮市上戸祭４－８－１５,3200058,2021-01-20,,5134,
G109110101705,G1,09,1,1,小山工業高等専門学校,小山市大字中久喜７７１,3230806,2021-01-20,,6544,
F110110101713,F1,10,1,1,群馬大学,前橋市荒牧町４－２,3718510,2021-01-20,,0160,
F110210101720,F1,10,2,1,高崎経済大学,高崎市上並榎町１３００,3700801,2021-01-20,,1136,
F110210101739,F1,10,2,1,前橋工科大学,前橋市上佐鳥町４６０－１,3710816,2021-01-20,,1138,
F110210101748,F1,10,2,1,群馬県立女子大学,佐波郡玉村町大字上之手１３９５－１,3701193,2021-01-20,,1140,
F110210101757,F1,10,2,1,群馬県立県民健康科学大学,前橋市上沖町３２３番１,3710052,2021-01-20,,1142,
F110310101764,F1,10,3,1,育英大学,高崎市京目町１６５６－１,3700011,2021-01-20,,2120,
F110310101773,F1,10,3,1,桐生大学,みどり市笠懸町阿左美６０６番７,3792392 ,2021-01-20,,2121,
F110310101782,F1,10,3,1,群馬パース大学,高崎市問屋町1-7-1,3700006,2021-01-20,,2122,
F110310101791,F1,10,3,1,群馬医療福祉大学,前橋市川曲町１９１－１,3710823,2021-01-20,,2132,
F110310101808,F1,10,3,1,高崎健康福祉大学,高崎市中大類町３７－１番地,3700033,2021-01-20,,2137,
F110310101817,F1,10,3,1,高崎商科大学,高崎市根小屋町７４１番地,3701214,2021-01-20,,2138,
F110310101826,F1,10,3,1,上武大学,伊勢崎市戸谷塚町６３４－１,3728588,2021-01-20,,2139,
F110310101835,F1,10,3,1,関東学園大学,太田市藤阿久町２００,3738515,2021-01-20,,2142,
F110310101844,F1,10,3,1,共愛学園前橋国際大学,前橋市小屋原町１１５４番４,3792121,2021-01-20,,2143,
F210310101852,F2,10,3,1,東京福祉大学短期大学部,伊勢崎市山王町２０２０－１,3720831,2021-01-20,,5112,
F210310101861,F2,10,3,1,群馬医療福祉大学短期大学部,前橋市川曲町１９１－１,3710823,2021-01-20,,5135,
F210310101870,F2,10,3,1,高崎商科大学短期大学部,高崎市根小屋町７４１,3701214,2021-01-20,,5137,
F210310101889,F2,10,3,1,新島学園短期大学,高崎市昭和町５３,3700068,2021-01-20,,5138,
F210310101898,F2,10,3,9,関東短期大学,館林市大谷町６２５,3740051,2021-01-20,2021-05-27,5139,
F210310101905,F2,10,3,1,桐生大学短期大学部,みどり市笠懸町阿左美６０６－７,3792392 ,2021-01-20,,5140,
F210310101914,F2,10,3,1,共愛学園前橋国際大学短期大学部,前橋市昭和町３－７－２７,3710034,2021-01-20,,5142,
F210310101923,F2,10,3,1,育英短期大学,高崎市京目町１６５６－１,3700011,2021-01-20,,5143,
G110110101935,G1,10,1,1,群馬工業高等専門学校,前橋市鳥羽町５８０,3718530,2021-01-20,,6548,
F111110101945,F1,11,1,1,埼玉大学,さいたま市桜区下大久保２５５,3388570,2021-01-20,,0164,
F111210101952,F1,11,2,1,埼玉県立大学,越谷市大字三野宮字御手作８２０番,3430036,2021-01-20,,1143,
F111310101969,F1,11,3,1,日本医療科学大学,入間郡毛呂山町下川原１２７６番地,3500435,2021-01-20,,2119,
F111310101978,F1,11,3,1,日本薬科大学,北足立郡伊奈町小室１０２８１,3620806,2021-01-20,,2125,
F111310101987,F1,11,3,1,武蔵野学院大学,狭山市広瀬台３－２６－１,3501328,2021-01-20,,2126,
F111310101996,F1,11,3,1,浦和大学,さいたま市緑区大崎３５５１番地,3360974,2021-01-20,,2129,
F111310102003,F1,11,3,1,ものつくり大学,行田市大字前谷３３３,3610038,2021-01-20,,2136,
F111310102012,F1,11,3,1,共栄大学,春日部市内牧４１５８番地,3440051,2021-01-20,,2145,
F111310102021,F1,11,3,1,埼玉学園大学,川口市大字木曽呂１５１０番地,3330831,2021-01-20,,2146,
F111310102030,F1,11,3,1,尚美学園大学,川越市豊田町1-1-1,3501110,2021-01-20,,2147,
F111310102049,F1,11,3,1,人間総合科学大学,さいたま市岩槻区馬込１２８８,3398539,2021-01-20,,2148,
F111310102058,F1,11,3,1,西武文理大学,狭山市大字柏原新田字下河原３１１番地１,3501336,2021-01-20,,2149,
F111310102067,F1,11,3,1,十文字学園女子大学,新座市菅沢２－１－２８,3528510,2021-01-20,,2150,
F111310102076,F1,11,3,1,平成国際大学,加須市大字水深字大立野２０００,3478504,2021-01-20,,2151,
