事業所名,校舎(㎡),寄宿舎(㎡)
函館,25642,6170
苫小牧,23113,7621
釧路,24657,6723
旭川,22469,5962
八戸,24270,11556
一関,23221,6947
仙台(広瀬),20992,5827
仙台(名取),25544,4753
秋田,23771,5470
鶴岡,22609,8832
福島,25474,6671
茨城,25132,5917
小山,25669,6030
群馬,27196,3894
木更津,25563,8834
東京,24838,6025
長岡,27888,8707
富山(本郷),23258,4493
富山(射水),24458,7029
石川,26123,5977
福井,26137,5244
長野,24170,10279
岐阜,27341,7498
沼津,25480,10734
豊田,25753,13456
鳥羽,21705,4925
鈴鹿,27955,9725
舞鶴,23296,11832
明石,22550,5713
奈良,25106,3341
和歌山,20693,13094
米子,25375,6206
松江,24521,8233
津山,22269,8682
広島,19360,9769
呉,22528,6780
徳山,20058,2950
宇部,25049,9114
大島,20200,8060
阿南,23361,8893
香川(高松),22591,3556
香川(詫間),21238,7730
新居浜,25783,9386
弓削,20641,9590
高知,22228,9983
久留米,26865,4331
有明,25609,6335
北九州,24815,4387
佐世保,22419,8425
熊本(八代),21469,8537
熊本(熊本),19890,5676
大分,22480,6140
都城,22934,7830
鹿児島,23717,11848
沖縄,24328,10198
機構本部,1320,0
