事業所名,電気起算校舎(t-CO2),電気起算寄宿舎(t-CO2),化石燃料起算校舎(t-CO2),化石燃料起算寄宿舎(t-CO2)
函館,609,126,582,180
苫小牧,533,75,530,277
釧路,566,158,809,394
旭川,563,134,567,215
八戸,711,102,536,707
一関,512,206,472,141
仙台(広瀬),632,105,334,62
仙台(名取),745,97,455,38
秋田,510,100,556,314
鶴岡,574,312,307,111
福島,711,127,217,93
茨城,431,138,86,54
小山,851,164,34,78
群馬,603,86,358,46
木更津,411,46,248,9
東京,739,82,74,81
長岡,877,145,510,250
富山(本郷),593,100,191,33
富山(射水),446,138,235,84
石川,866,154,22,51
福井,630,113,359,64
長野,341,214,198,79
岐阜,469,109,155,45
沼津,797,135,36,112
豊田,355,106,219,94
鳥羽,359,44,151,29
鈴鹿,567,185,26,100
舞鶴,170,159,272,171
明石,523,130,12,22
奈良,549,94,249,32
和歌山,411,243,207,125
米子,792,176,14,85
松江,620,168,5,81
津山,374,276,19,23
広島,328,317,59,83
呉,542,162,148,81
徳山,485,101,66,33
宇部,651,317,113,11
大島,302,97,58,58
阿南,711,141,16,36
香川(高松),433,106,3,30
香川(詫間),346,144,76,92
新居浜,565,235,16,78
弓削,464,295,34,93
高知,686,217,24,142
久留米,466,57,51,13
有明,344,101,203,52
北九州,335,61,233,30
佐世保,280,122,82,20
熊本(八代),351,116,8,89
熊本(熊本),262,84,42,16
大分,300,109,324,63
都城,277,60,224,62
鹿児島,361,123,280,144
沖縄,1363,330,100,40
機構本部,61,0,23,0
